Player,Year,Team,Position,Games_Played,Min_Played,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Anita Maxwell,1997,CLE,F,9,63,11.2,.345,.000,.333,4.3,12.3,24.8,3.5,0.0,17.9,24.8,-0.1,0.1,0.0,-0.021
Tammi Reiss,1997,UTA,G,28,831,9.6,.423,.437,.238,3.9,5.3,20.8,1.5,0.2,19.3,17.0,0.2,-0.7,-0.5,-0.024
Catarina Pollini,1997,HOU,F,13,94,4.6,.403,.000,.545,4.1,8.4,10.0,2.4,0.9,22.7,17.6,-0.1,0.1,0.0,.005
Bridget Pettis,1997,PHO,G,28,842,17.0,.478,.417,.336,5.0,7.8,20.4,3.1,1.2,18.2,24.1,1.4,1.7,3.2,.150
Kim Perrot,1997,HOU,G,28,692,14.1,.452,.611,.228,3.4,7.2,23.8,5.6,0.2,26.7,16.5,0.2,1.5,1.7,.098
Jasmina Perazic-Gipe,1997,NYL,G-F,9,47,8.2,.385,.231,.000,5.2,14.4,16.5,3.4,0.0,35.0,19.2,-0.2,0.1,-0.1,-0.043
Wendy Palmer,1997,UTA,F,28,936,18.7,.446,.114,.412,9.0,13.9,12.2,2.7,0.5,12.5,27.0,1.6,0.4,2.0,.083
Tina Nicholson,1997,CLE,G,24,273,7.6,.519,.545,.114,1.0,2.4,26.9,2.0,0.3,37.7,12.7,0.0,0.1,0.0,.007
Eva Nemcova,1997,CLE,F,28,944,18.6,.584,.291,.284,3.3,7.5,14.4,2.3,0.7,19.2,20.1,2.9,0.9,3.8,.161
Judy Mosley-McAfee,1997,SAC,F,12,265,8.4,.520,.000,.229,11.0,11.2,7.0,1.6,0.6,32.1,13.1,0.0,-0.1,-0.1,-0.019
Yolanda Moore,1997,HOU,F-C,13,93,0.7,.316,.000,.600,8.4,9.2,1.9,0.6,0.0,21.7,16.3,-0.2,0.0,-0.2,-0.091
Penny Moore,1997,CHA,F,28,539,7.4,.391,.157,.195,3.6,8.3,9.7,1.6,1.7,20.3,19.1,-0.9,0.6,-0.3,-0.025
Pamela McGee,1997,SAC,F-C,27,691,14.5,.525,.032,.505,9.5,10.9,6.1,2.1,1.6,21.2,22.3,1.2,-0.1,1.0,.060
Laure Savasta,1997,SAC,G,14,157,-0.5,.337,.444,.200,0.8,2.4,13.8,1.4,0.5,30.0,19.9,-0.6,-0.2,-0.8,-0.204
Rhonda Mapp,1997,CHA,C,28,710,20.9,.561,.033,.434,9.5,13.5,19.1,1.6,1.4,19.0,24.0,2.7,1.0,3.7,.209
Sharon Manning,1997,CHA,F-C,28,438,15.5,.466,.000,.400,12.3,13.9,5.8,3.1,1.0,16.5,19.1,0.3,0.8,1.1,.102
Mwadi Mabika,1997,LAS,G,21,325,14.2,.430,.279,.176,8.7,10.1,12.8,3.7,1.4,15.6,23.7,0.1,0.5,0.6,.078
Rebecca Lobo,1997,NYL,C,28,939,14.3,.435,.178,.297,8.1,13.3,11.7,1.5,4.5,18.0,23.4,0.0,2.0,1.9,.083
Nancy Lieberman,1997,PHO,G,25,279,6.6,.393,.338,.130,2.5,7.1,29.1,2.9,0.6,32.4,19.4,-0.7,0.6,-0.2,-0.024
Nicole Levesque,1997,CHA,G,27,622,6.8,.521,.673,.153,1.0,4.7,20.6,1.9,0.4,40.4,13.4,-0.6,0.5,-0.1,-0.007
Lisa Leslie,1997,LAS,C,28,902,21.6,.490,.124,.509,9.0,17.8,15.9,2.2,5.1,19.4,27.7,1.4,2.2,3.5,.157
Greta Koss,1997,UTA,F,13,268,9.1,.610,.103,.552,5.0,8.0,7.0,1.8,1.2,33.3,9.0,0.1,-0.1,0.0,.005
Merlakia Jones,1997,CLE,G,28,589,12.4,.451,.052,.245,7.2,9.0,8.8,2.1,0.4,17.6,24.4,0.1,0.5,0.6,.038
Vickie Johnson,1997,NYL,G-F,26,789,12.4,.434,.078,.130,7.2,8.5,17.2,1.3,0.4,14.7,19.0,0.8,0.9,1.7,.086
Adrienne Johnson,1997,CLE,G,25,194,4.6,.421,.068,.153,5.6,7.3,8.8,1.4,0.4,30.0,21.6,-0.6,0.1,-0.5,-0.105
Milica Vukadinovic,1997,CHA,G,1,14,8.5,1.500,1.000,.000,0.0,4.4,12.5,3.9,0.0,75.0,13.6,-0.1,0.0,0.0,-0.102
Haixia Zheng,1997,LAS,C,28,557,20.2,.635,.000,.331,7.4,13.4,6.2,1.0,2.8,18.4,19.9,2.0,0.8,2.7,.195
Corissa Yasen,1997,SAC,G,19,188,11.1,.417,.018,.211,7.8,6.7,6.4,5.1,0.8,20.4,18.6,-0.2,0.1,-0.1,-0.022
Tiffany Woosley,1997,HOU,G,26,397,7.3,.415,.568,.091,2.6,4.7,13.4,2.5,0.2,24.7,14.3,-0.2,0.3,0.1,.007
Lynette Woodard,1997,CLE,G,28,712,14.5,.441,.032,.294,7.1,10.5,18.2,3.5,1.2,21.9,20.6,0.0,1.1,1.1,.062
Sophia Witherspoon,1997,NYL,G,28,867,18.3,.517,.365,.322,4.3,5.9,16.0,3.0,0.7,16.4,24.5,2.3,1.4,3.6,.168
Tara Williams,1997,PHO,G,12,84,13.8,.474,.282,.000,1.4,5.9,9.1,1.9,0.0,9.3,23.0,0.1,0.1,0.2,.110
Kim Williams,1997,UTA,G,28,608,14.2,.448,.148,.231,6.2,7.7,22.2,3.3,0.9,18.4,22.7,0.4,0.0,0.4,.026
Debra Williams,1997,CHA,G,10,116,4.4,.308,.419,.047,3.3,7.0,14.2,1.0,0.0,12.0,20.4,-0.2,0.1,-0.2,-0.062
Jamila Wideman,1997,LAS,G,28,633,7.3,.347,.340,.321,3.3,5.4,24.9,2.0,0.1,29.7,12.0,-0.4,0.4,0.0,-0.001
Sue Wicks,1997,NYL,F,28,332,12.3,.411,.065,.308,13.3,17.4,17.2,2.8,4.5,27.5,22.7,-0.6,0.9,0.4,.046
Umeki Webb,1997,PHO,G-F,28,775,10.2,.376,.095,.424,6.3,9.3,16.8,4.7,0.9,22.7,14.1,-0.5,2.1,1.6,.083
Teresa Weatherspoon,1997,NYL,G,28,924,16.3,.541,.255,.730,3.3,7.7,33.6,5.0,0.2,34.2,13.4,1.1,2.4,3.4,.149
Tia Jackson,1997,PHO,F,26,320,11.0,.440,.110,.342,8.8,10.6,16.1,3.8,2.2,30.6,17.0,-0.3,0.8,0.5,.060
Danielle Viglione,1997,SAC,G,7,30,5.7,.318,.364,.000,4.1,8.4,6.4,1.8,0.0,0.0,16.4,0.0,0.0,0.0,-0.010
Molly Tuter,1997,PHO,G,3,3,-25.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,-0.648
Trena Trice,1997,NYL,F-C,28,340,12.9,.599,.087,.489,11.6,12.3,1.2,1.4,2.2,26.4,20.1,0.4,0.5,0.9,.110
Chantel Tremitiere,1997,SAC,G,28,1051,8.8,.450,.189,.459,2.9,6.8,23.0,2.8,0.1,34.1,15.2,-0.9,-0.3,-1.1,-0.042
Penny Toler,1997,LAS,G,28,907,16.2,.489,.112,.257,3.6,6.3,29.5,2.1,0.3,22.1,23.6,1.4,0.7,2.1,.093
Michele Timms,1997,PHO,G,27,966,16.2,.478,.481,.353,2.8,6.3,29.6,3.9,0.3,19.0,19.6,1.8,2.1,4.0,.164
Tina Thompson,1997,HOU,F,28,885,18.6,.524,.314,.252,9.8,13.7,7.7,1.3,2.7,14.9,22.0,3.2,1.1,4.3,.195
Sheryl Swoopes,1997,HOU,F-G,9,129,26.6,.541,.302,.264,6.0,7.7,12.7,3.0,2.6,6.3,22.9,0.7,0.2,0.9,.283
Tora Suber,1997,CHA,G,28,475,10.7,.520,.537,.380,1.3,5.5,21.1,1.5,0.5,28.8,17.7,0.2,0.4,0.5,.044
Andrea Stinson,1997,CHA,G,28,1011,20.5,.504,.194,.225,6.1,9.5,26.3,2.3,1.7,18.5,25.1,2.4,1.4,3.8,.151
Raegan Scott,1997,UTA,F-C,8,43,16.0,.432,.000,.154,10.3,9.4,4.9,1.2,5.5,0.0,14.4,0.1,0.0,0.1,.092
Jenny Boucek,1997,CLE,G,10,112,1.0,.498,.200,.467,3.7,5.8,13.9,2.9,0.0,54.9,16.7,-0.5,0.1,-0.4,-0.158
Andrea Congreaves,1997,CHA,F-C,28,658,16.8,.621,.349,.444,7.8,12.6,11.4,1.3,0.6,17.1,13.1,2.3,0.8,3.1,.191
Megan Compain,1997,UTA,G,4,19,0.0,.000,.667,.000,0.0,3.0,17.9,11.2,4.2,50.0,14.1,-0.2,0.1,-0.1,-0.228
Katrina Colleton,1997,LAS,F,28,613,11.5,.489,.198,.238,5.3,5.9,12.2,3.0,1.1,20.1,12.6,0.6,0.6,1.2,.081
Margold Clark,1997,SAC,F-C,5,46,2.0,.394,.125,.250,0.0,8.2,3.9,1.2,1.7,18.4,10.6,0.0,0.0,0.0,-0.042
Daedra Charles,1997,LAS,F-C,28,282,9.6,.435,.015,.224,7.3,10.3,7.1,1.8,2.8,16.0,13.8,0.1,0.4,0.5,.071
Deborah Carter,1997,UTA,G-F,19,286,10.1,.431,.110,.171,8.5,10.7,5.9,2.4,0.3,16.2,16.4,0.0,0.0,0.0,.002
Latasha Byears,1997,SAC,G-F,28,656,19.2,.510,.024,.330,16.1,18.5,15.4,3.2,1.0,21.9,20.9,1.5,0.4,1.9,.116
Linda Burgess,1997,LAS,F,28,492,17.0,.584,.015,.363,12.1,14.4,3.4,2.1,2.1,23.1,18.3,1.0,0.7,1.7,.139
Heidi Burge,1997,LAS,F-C,22,282,12.7,.474,.056,.625,10.5,14.8,9.2,2.2,3.3,21.4,18.4,0.1,0.5,0.7,.094
Vicky Bullett,1997,CHA,F,28,875,22.1,.500,.071,.247,9.6,12.7,15.6,3.4,5.2,15.9,23.2,2.2,2.0,4.2,.193
Rushia Brown,1997,CLE,F,28,511,20.2,.579,.000,.520,12.8,14.3,7.6,3.6,2.3,15.2,16.3,2.0,1.0,2.9,.229
Janice Braxton,1997,CLE,F,25,822,19.2,.528,.047,.654,6.3,14.8,11.2,2.4,2.8,16.3,18.4,2.4,1.6,3.9,.191
Cynthia Cooper,1997,HOU,G,28,982,32.2,.629,.399,.490,4.3,7.5,31.4,3.4,0.5,18.1,28.7,8.1,1.3,9.4,.385
Karen Booker,1997,UTA,C,26,321,7.6,.400,.050,.617,11.7,14.4,14.2,4.0,3.7,39.1,17.4,-1.0,0.4,-0.7,-0.084
Ruthie Bolton,1997,SAC,G,23,813,23.6,.510,.471,.169,4.6,10.4,17.2,3.6,0.1,11.7,27.3,3.5,0.3,3.8,.187
Rhonda Blades,1997,NYL,G,28,290,6.1,.508,.771,.286,2.5,4.4,19.3,2.6,0.3,33.1,18.3,-0.3,0.4,0.1,.017
Ryneldi Becenti,1997,PHO,G,1,8,0.0,,,,0.0,0.0,0.0,6.7,0.0,100.0,5.6,0.0,0.0,0.0,-0.090
Elena Baranova,1997,UTA,F,28,913,18.0,.476,.320,.187,6.8,13.1,15.2,2.5,5.4,18.6,21.5,0.8,0.8,1.5,.068
Marlies Askamp,1997,PHO,C,28,517,18.2,.482,.006,.522,14.9,17.4,10.0,2.2,1.5,17.4,23.1,1.1,1.2,2.3,.179
Katasha Artis,1997,CHA,F,20,113,3.3,.354,.063,.938,1.1,8.8,11.7,2.9,0.7,34.7,14.5,-0.4,0.2,-0.2,-0.057
Janeth Arcain,1997,HOU,G,28,784,18.2,.531,.132,.340,6.8,9.3,12.0,3.1,0.4,18.9,21.2,2.3,1.0,3.3,.169
Yvette Angel,1997,SAC,G,5,90,7.8,.404,.313,.188,2.7,6.3,22.4,2.4,0.9,31.6,12.6,-0.1,0.0,-0.1,-0.061
