Player,Year,Team,Position,Games_Played,Games_Started,Min_Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tajama Abraham,1997,SAC,C,28,5,422,48,126,.381,0,0,,48,126,.381,.381,26,38,.684,32,67,13,12,12,49,70,122
Marcie Alberts,1997,CLE,G,5,0,30,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,3,2,0,3,2,0
Monique Ambers,1997,PHO,F,19,0,85,4,9,.444,0,0,,4,9,.444,.444,6,15,.400,10,20,4,0,2,7,13,14
Yvette Angel,1997,SAC,G,5,3,90,7,16,.438,0,5,.000,7,11,.636,.438,0,3,.000,2,9,11,4,1,8,6,14
Janeth Arcain,1997,HOU,G,28,27,784,110,250,.440,9,33,.273,101,217,.465,.458,76,85,.894,41,110,45,43,4,67,56,305
Katasha Artis,1997,CHA,F,20,0,113,4,16,.250,0,1,.000,4,15,.267,.250,8,15,.533,1,16,8,6,1,12,13,16
Marlies Askamp,1997,PHO,C,28,1,517,70,178,.393,0,1,.000,70,177,.395,.393,71,93,.763,66,146,23,21,9,46,59,211
Elena Baranova,1997,UTA,F,28,27,913,129,331,.390,40,106,.377,89,225,.396,.450,43,62,.694,56,207,62,43,63,82,82,341
Ryneldi Becenti,1997,PHO,G,1,0,8,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,1,0,0
Rhonda Blades,1997,NYL,G,28,0,290,25,70,.357,17,54,.315,8,16,.500,.479,13,20,.650,6,21,30,14,1,39,55,80
Ruthie Bolton,1997,SAC,G,23,23,813,164,408,.402,66,192,.344,98,216,.454,.483,53,69,.768,31,134,59,54,1,58,71,447
Karen Booker,1997,UTA,C,26,4,321,20,60,.333,0,3,.000,20,57,.351,.333,21,37,.568,34,80,24,24,15,49,62,61
Jenny Boucek,1997,CLE,G,10,1,112,7,15,.467,0,3,.000,7,12,.583,.467,4,7,.571,3,10,9,6,0,22,10,18
Janice Braxton,1997,CLE,F,25,24,822,88,211,.417,5,10,.500,83,201,.413,.429,106,138,.768,38,189,49,36,28,53,64,287
Rushia Brown,1997,CLE,F,28,3,511,64,123,.520,0,0,,64,123,.520,.520,47,64,.734,48,113,20,34,14,27,72,175
Vicky Bullett,1997,CHA,F,28,28,875,145,324,.448,7,23,.304,138,301,.458,.458,62,80,.775,66,178,65,54,55,68,84,359
Heidi Burge,1997,LAS,F-C,22,6,282,32,72,.444,0,4,.000,32,68,.471,.444,23,45,.511,23,69,15,12,12,25,52,87
Linda Burgess,1997,LAS,F,28,6,492,73,135,.541,1,2,.500,72,133,.541,.544,36,49,.735,46,117,9,20,13,47,46,183
